Time Delays,Line Strength T1,Phase T1,Line Width T1,Background,Line Strength T1 Error,Phase T1 Error,Line Width T1 Error
-5.75,0.0013027703944038305,-1.7731785710951,0.12586550616603898,0.03881483723686065,4.902956532630283e-05,0.028405795041035707,0.006905908097949617
-5.5,0.0023797369533440594,0.09558296753702125,0.07546303460055429,0.038851469664639725,6.875844808290675e-05,0.020769716814555382,0.0032098386011916243
-5.25,0.0029771856481864154,2.811217611436231,0.07416632023761434,0.03847322088033116,7.195569752476279e-05,0.017410588191686026,0.0026309902936984307
-5.0,0.0026795447373736832,-1.623436435575412,0.08796803232557607,0.03840019572662967,6.254111781853226e-05,0.01728749683011959,0.0029617030764915024
-4.75,0.0013958661785327831,-0.2039131687336371,0.19497861859919555,0.03711460457014427,3.9806759016210226e-05,0.021105629048732956,0.00873085575147701
-4.5,0.0003927773200093451,1.766283581231689,0.1895175687536404,0.03895560476442586,4.11749147203988e-05,0.08185909353398028,0.02945414603212068
-4.25,0.001445941395217792,3.006379700797063,0.1810796043329145,0.038702020761137844,4.607428441658187e-05,0.023467660722940892,0.00900262267977214
-4.0,0.00407080314760039,-2.224082264407816,0.24399999999999972,0.037218706289653423,4.781755502245401e-05,0.00923091410046421,0.004420532351222608
-3.75,0.007112688595415793,-1.6088694292447427,0.24399999999999997,0.03827979235748228,4.7134844585638954e-05,0.005339510732045908,0.0024282142470861234
-3.5,0.009847291880889288,-0.8668958537637803,0.22675895228165283,0.0362263248727764,5.2537572336612174e-05,0.004149539345418197,0.00185960822806799
-3.25,0.010466927854770101,-0.3431364171403888,0.13657467417615957,0.03839021225283802,6.155155541504174e-05,0.004306981411119673,0.0012171252047620046
-3.0,0.004066676168188678,0.9620313461601191,0.061000000000000484,0.038567765728086435,0.0001104590666452215,0.01971461131261627,0.0023895893663821214
-2.75,0.023633350273941593,-2.1645894475981162,0.24399999999999997,0.045844323438743576,0.00010210249859100708,0.003408831971855531,0.0016190853708560162
-2.5,0.04431341870952159,-1.524454791400956,0.24399999999957414,0.052187792688968775,0.0001658035721147675,0.003014841504574149,0.0013710311232062193
