Time Delays,Line Strength T1,Phase T1,Line Width T1,Background,Line Strength T1 Error,Phase T1 Error,Line Width T1 Error
-5.9375,0.0006659626552910492,-2.07915754646318,0.13419999999999993,0.03955741527534791,0.0001625337991515235,0.1757496996890259,0.046865460020053464
-5.875,0.0007597800859022989,-2.087140718940041,0.13419999999999999,0.039550729707519695,0.00015787397879166062,0.1496190176693247,0.0399042149039784
-5.8125,0.0008557273070361665,-2.038080812920453,0.13419999999999999,0.03952837522852509,0.00015799322104765998,0.13301060551710225,0.035438679311606124
-5.75,0.0009357697357013423,-1.9375488309277755,0.13419999999999999,0.03948713435911794,0.00016309415776502787,0.12567547528901526,0.03342262483522703
-5.6875,0.0009734069949044824,-1.796662341046612,0.13419999999999999,0.03943014825298403,0.00017514558763630748,0.12986894004639385,0.03447071851909394
-5.625,0.0009358902850782561,-1.6343908356165395,0.13419999999999999,0.03936434100659474,0.00018794704549861022,0.1450308300600035,0.038450747725463905
-5.5625,0.0008067745909447135,-1.485095741804316,0.13419999999939267,0.039298986394743565,0.00018803127495939327,0.16831266692408592,0.04462591606189643
-5.5,0.0006084700344923622,-1.424158734905586,0.13419999999979093,0.03924688926734827,0.0001726277476768792,0.20485154010686019,0.05433193459480343
-5.4375,0.0004280705270078481,-1.612934065715809,0.1341999999999954,0.03921445903641443,0.00015600670196131545,0.2632027987819001,0.06977656179043377
-5.375,0.00040446271104282885,-2.039175272289252,0.13419999999999113,0.03920000867865079,0.00014782679870019094,0.2633014076161559,0.07015424187794646
-5.3125,0.0005037684126096518,-2.228642597549662,0.13419999999999999,0.039201657798019915,0.0001440072971776637,0.20550228536490545,0.05498660074792296
-5.25,0.000595870559816347,-2.1982919783764787,0.13419999999999999,0.0392219441892146,0.0001517763589841198,0.18317772561106146,0.0489775521810193
-5.1875,0.0006452389266512428,-2.086996848676822,0.13419999999999987,0.03926528079042757,0.0001738010640071494,0.1939530811726812,0.05172819512288045
-5.125,0.0006469353883732092,-1.9573201162654505,0.13419999999999227,0.03933019414164259,0.00018431185969811024,0.20540035013590663,0.05464329446276218
-5.0625,0.0006056028027101719,-1.8760854364793127,0.13419999999992555,0.03941124252226701,0.00016736190559729446,0.1993674770630367,0.05297030103917864
-5.0,0.0005701415576438121,-1.9102503554534827,0.13419999999999999,0.03950168992307695,0.00014162604181210857,0.17915802249319054,0.04762505461751565
-4.9375,0.0006089849213450654,-1.9889862054420584,0.13419999999996593,0.03958744029022574,0.000133751839739103,0.15829965040293278,0.042136796281201525
-4.875,0.0007033090876808258,-1.9692787847318574,0.13419999999991722,0.03965068458070952,0.00013527147784881302,0.13865119188920252,0.03689354339229688
-4.8125,0.0007833987388369116,-1.8612392171125878,0.13419999999999999,0.039678476683794074,0.00014588420352956014,0.13435551611539845,0.03568978370303005
-4.75,0.0008128424011595544,-1.7266258063691515,0.13419999999999999,0.0396631795271636,0.00017538564362427152,0.15578593288521417,0.04132297400897897
-4.6875,0.000782577453699847,-1.6008465180411842,0.13419999999842103,0.0396025194594468,0.0001958912501552807,0.18078207291753554,0.047925255528497995
-4.625,0.0006906203546825844,-1.5059606998619581,0.13419999999995477,0.03949975667356216,0.00018238359112278022,0.19072202462119361,0.05056373704287258
-4.5625,0.0005465034393676975,-1.482779950276125,0.13419999999999993,0.0393614384154018,0.00014932810779527512,0.19732657278277738,0.052319073229876216
-4.5,0.0003916542075553359,-1.637757438353196,0.13419999999999116,0.03920049561280223,0.00012985974937123208,0.2394523388784171,0.06348460322813088
-4.4375,0.0003138082662939036,-2.0825022941403253,0.1341999999994204,0.039035610594741116,0.00012391467595047445,0.2843438569494979,0.07582857978234532
-4.375,0.00035750283839120064,-2.5078990944048654,0.13419999999999896,0.03888315260203499,0.00012499884497188654,0.25048814338824793,0.06748904548726449
-4.3125,0.0004559851753393251,-2.66669700646632,0.13419999999999946,0.03876327839375435,0.00014942239588757792,0.23433907291633066,0.06336461808825918
-4.25,0.0005659158449561496,-2.627462001347403,0.13419999999997567,0.03870101383341957,0.0001754378866184724,0.22178522077300383,0.059920271915007026
-4.1875,0.0006602728993644088,-2.4540301630267143,0.13419999999999688,0.038710532839366006,0.00016984089010923205,0.18440207032630368,0.049618120909898034
-4.125,0.0007183017089643486,-2.20760054938663,0.1341999999999999,0.038795804164965995,0.0001383406045523989,0.13848900870537653,0.03703701060698809
-4.0625,0.000737768541681214,-1.9520872850205186,0.13419999999999999,0.03895609298539656,0.00012134926229078518,0.11858923103024449,0.03154581823978593
-4.0,0.0007310589891225223,-1.7471464912498318,0.13419999999961005,0.039180071910915285,0.00013412245577703872,0.13245050125632105,0.035138998105963604
-3.9375,0.0007132402337932532,-1.6315356837316775,0.1341999999999804,0.039442372155894564,0.000160924346319629,0.16294373392354802,0.04319944675734972
-3.875,0.0006890861577844529,-1.626173779732429,0.13419999999999951,0.039711565263992006,0.00020587232474301252,0.21576434086761614,0.05720227012421643
-3.8125,0.0006783088066616483,-1.7760004930807776,0.13419999999999999,0.03996394081910291,0.0002552795972688673,0.271666124141893,0.07209204629236633
-3.75,0.0007767620748747939,-2.0488200022952148,0.1341999999996424,0.04017545487399595,0.00028395222025008897,0.26332602884132855,0.07017444422431
-3.6875,0.0010412527042186562,-2.231268800761421,0.13419999999824903,0.04030827764774059,0.00029187831932933785,0.20150927871446775,0.0539216087205121
-3.625,0.0013823562696768672,-2.268686666232042,0.13419999999991256,0.04032476032352309,0.00029813563767942727,0.154969147226711,0.04150592959173189
